Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,France,France,FR,25.1,43.84,94.24,25.36,opendata.reseaux-energies.fr,false,
2022-01-01 01:00:00,France,France,FR,26.75,46.23,93.86,24.34,opendata.reseaux-energies.fr,false,
2022-01-01 02:00:00,France,France,FR,26.41,46.35,93.73,23.27,opendata.reseaux-energies.fr,false,
2022-01-01 03:00:00,France,France,FR,25.11,45.04,93.82,23.29,opendata.reseaux-energies.fr,false,
2022-01-01 04:00:00,France,France,FR,24.88,44.67,93.87,23.54,opendata.reseaux-energies.fr,false,
2022-01-01 05:00:00,France,France,FR,24.65,44.24,93.96,23.65,opendata.reseaux-energies.fr,false,
2022-01-01 06:00:00,France,France,FR,24.25,43.62,94.04,24.02,opendata.reseaux-energies.fr,false,
2022-01-01 07:00:00,France,France,FR,23.07,41.83,94.32,24.03,opendata.reseaux-energies.fr,false,
2022-01-01 08:00:00,France,France,FR,22.0,40.54,94.55,25.16,opendata.reseaux-energies.fr,false,
2022-01-01 09:00:00,France,France,FR,20.21,38.68,94.92,27.09,opendata.reseaux-energies.fr,false,
2022-01-01 10:00:00,France,France,FR,19.12,37.61,95.17,28.52,opendata.reseaux-energies.fr,false,
2022-01-01 11:00:00,France,France,FR,19.16,37.81,95.18,28.83,opendata.reseaux-energies.fr,false,
2022-01-01 12:00:00,France,France,FR,19.4,38.14,95.12,28.33,opendata.reseaux-energies.fr,false,
2022-01-01 13:00:00,France,France,FR,18.48,36.64,95.35,26.67,opendata.reseaux-energies.fr,false,
2022-01-01 14:00:00,France,France,FR,19.19,37.08,95.24,24.8,opendata.reseaux-energies.fr,false,
2022-01-01 15:00:00,France,France,FR,20.15,37.51,95.12,23.72,opendata.reseaux-energies.fr,false,
2022-01-01 16:00:00,France,France,FR,20.54,37.09,95.25,24.72,opendata.reseaux-energies.fr,false,
2022-01-01 17:00:00,France,France,FR,20.69,36.97,95.4,27.37,opendata.reseaux-energies.fr,false,
2022-01-01 18:00:00,France,France,FR,21.18,37.63,95.31,28.23,opendata.reseaux-energies.fr,false,
2022-01-01 19:00:00,France,France,FR,21.02,37.79,95.2,27.67,opendata.reseaux-energies.fr,false,
2022-01-01 20:00:00,France,France,FR,20.56,37.69,95.06,26.38,opendata.reseaux-energies.fr,false,
2022-01-01 21:00:00,France,France,FR,21.78,39.48,94.68,25.56,opendata.reseaux-energies.fr,false,
2022-01-01 22:00:00,France,France,FR,22.34,40.24,94.56,25.92,opendata.reseaux-energies.fr,false,
2022-01-01 23:00:00,France,France,FR,23.04,41.63,94.28,25.49,opendata.reseaux-energies.fr,false,
