Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Netherlands,Netherlands,NL,382.56,477.86,29.06,22.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Netherlands,Netherlands,NL,380.79,473.87,31.33,23.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Netherlands,Netherlands,NL,379.74,471.69,32.33,23.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Netherlands,Netherlands,NL,378.37,470.19,32.41,23.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Netherlands,Netherlands,NL,382.52,474.24,32.57,23.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Netherlands,Netherlands,NL,389.44,481.6,32.17,23.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Netherlands,Netherlands,NL,391.5,484.4,31.61,22.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Netherlands,Netherlands,NL,397.59,491.82,30.39,21.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Netherlands,Netherlands,NL,395.78,492.09,28.41,20.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Netherlands,Netherlands,NL,303.03,386.58,43.82,38.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Netherlands,Netherlands,NL,265.79,344.3,49.84,45.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Netherlands,Netherlands,NL,254.5,331.57,51.57,47.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Netherlands,Netherlands,NL,252.19,328.76,52.05,48.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Netherlands,Netherlands,NL,257.08,334.93,50.39,46.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Netherlands,Netherlands,NL,281.85,363.59,45.54,41.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Netherlands,Netherlands,NL,355.53,449.12,31.38,26.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Netherlands,Netherlands,NL,383.92,480.77,27.09,22.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Netherlands,Netherlands,NL,390.09,488.47,25.7,20.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Netherlands,Netherlands,NL,389.91,487.8,26.19,21.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Netherlands,Netherlands,NL,389.6,489.04,24.85,20.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Netherlands,Netherlands,NL,388.83,488.99,24.17,19.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Netherlands,Netherlands,NL,392.51,493.34,23.67,18.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Netherlands,Netherlands,NL,385.08,484.0,25.44,20.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Netherlands,Netherlands,NL,381.34,477.69,27.9,21.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Netherlands,Netherlands,NL,378.74,471.82,31.19,23.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Netherlands,Netherlands,NL,370.94,462.26,32.92,24.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Netherlands,Netherlands,NL,369.88,460.87,33.33,25.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Netherlands,Netherlands,NL,376.36,469.03,31.7,23.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Netherlands,Netherlands,NL,380.88,473.52,31.66,23.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Netherlands,Netherlands,NL,390.11,484.58,29.84,21.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Netherlands,Netherlands,NL,399.29,497.96,25.64,19.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Netherlands,Netherlands,NL,403.31,506.73,21.06,16.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Netherlands,Netherlands,NL,406.47,511.17,19.84,16.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Netherlands,Netherlands,NL,332.93,425.29,34.41,31.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Netherlands,Netherlands,NL,299.4,386.89,40.22,37.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Netherlands,Netherlands,NL,286.34,372.41,42.0,40.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Netherlands,Netherlands,NL,285.66,371.67,42.14,40.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Netherlands,Netherlands,NL,291.68,378.72,40.92,38.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Netherlands,Netherlands,NL,313.17,403.96,36.57,34.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Netherlands,Netherlands,NL,379.07,481.29,23.22,20.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Netherlands,Netherlands,NL,408.85,514.86,18.55,15.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,Netherlands,Netherlands,NL,408.36,514.59,18.35,15.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,Netherlands,Netherlands,NL,407.38,513.63,18.33,15.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,Netherlands,Netherlands,NL,405.99,512.41,18.19,15.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,Netherlands,Netherlands,NL,404.56,510.9,18.26,15.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 21:00:00,Netherlands,Netherlands,NL,403.15,507.91,19.76,16.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 22:00:00,Netherlands,Netherlands,NL,399.85,501.58,22.68,17.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 23:00:00,Netherlands,Netherlands,NL,390.41,486.35,28.45,21.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 00:00:00,Netherlands,Netherlands,NL,381.34,474.41,31.51,23.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 01:00:00,Netherlands,Netherlands,NL,371.11,462.48,33.4,25.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 02:00:00,Netherlands,Netherlands,NL,365.7,458.24,31.96,24.96,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
